id,question,answer,image_source,category,response
0,Is there a snowboard in the image?,yes,COCO_val2014_000000310196,adversarial,yes
1,Is there a backpack in the image?,no,COCO_val2014_000000310196,adversarial,no
2,Is there a person in the image?,yes,COCO_val2014_000000310196,adversarial,yes
3,Is there a car in the image?,no,COCO_val2014_000000310196,adversarial,no
4,Is there a skis in the image?,yes,COCO_val2014_000000310196,adversarial,yes
5,Is there a dog in the image?,no,COCO_val2014_000000310196,adversarial,no
6,Is there a truck in the image?,yes,COCO_val2014_000000210789,adversarial,yes
7,Is there a car in the image?,no,COCO_val2014_000000210789,adversarial,yes
8,Is there a person in the image?,yes,COCO_val2014_000000210789,adversarial,yes
9,Is there a dining table in the image?,no,COCO_val2014_000000210789,adversarial,no
10,Is there an umbrella in the imange?,yes,COCO_val2014_000000210789,adversarial,yes
11,Is there a handbag in the image?,no,COCO_val2014_000000210789,adversarial,no
12,Is there a person in the image?,yes,COCO_val2014_000000429109,adversarial,no
13,Is there a dining table in the image?,no,COCO_val2014_000000429109,adversarial,no
14,Is there a bicycle in the image?,yes,COCO_val2014_000000429109,adversarial,yes
15,Is there a motorcycle in the image?,no,COCO_val2014_000000429109,adversarial,yes
16,Is there a car in the image?,yes,COCO_val2014_000000429109,adversarial,yes
17,Is there a truck in the image?,no,COCO_val2014_000000429109,adversarial,yes
18,Is there a person in the image?,yes,COCO_val2014_000000211674,adversarial,no
19,Is there a dining table in the image?,no,COCO_val2014_000000211674,adversarial,no
20,Is there a potted plant in the image?,yes,COCO_val2014_000000211674,adversarial,yes
21,Is there a vase in the image?,no,COCO_val2014_000000211674,adversarial,no
22,Is there a car in the image?,yes,COCO_val2014_000000211674,adversarial,no
23,Is there a truck in the image?,no,COCO_val2014_000000211674,adversarial,no
24,Is there a traffic light in the image?,yes,COCO_val2014_000000458338,adversarial,no
25,Is there a bus in the image?,no,COCO_val2014_000000458338,adversarial,yes
26,Is there a person in the image?,yes,COCO_val2014_000000458338,adversarial,yes
27,Is there a dining table in the image?,no,COCO_val2014_000000458338,adversarial,no
28,Is there a car in the image?,yes,COCO_val2014_000000458338,adversarial,yes
29,Is there a truck in the image?,no,COCO_val2014_000000458338,adversarial,yes
30,Is there a dog in the image?,yes,COCO_val2014_000000283412,adversarial,yes
31,Is there a person in the image?,no,COCO_val2014_000000283412,adversarial,no
32,Is there a dining table in the image?,yes,COCO_val2014_000000283412,adversarial,no
33,Is there a chair in the image?,no,COCO_val2014_000000283412,adversarial,no
34,Is there a bed in the image?,yes,COCO_val2014_000000283412,adversarial,no
35,Is there a book in the image?,no,COCO_val2014_000000283412,adversarial,yes
